,Name of movie,Year of relase,Watchtime,theme,Movie Rating,Votes,Gross collection,Director,Star
66,復仇者聯盟：終局之戰,2019,181,"
Action,Adventure,Drama            ",8.4,"971,422",$858.37M,"Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
67,復仇者聯盟：無限之戰,2018,149,"
Action,Adventure,Sci-Fi            ",8.4,"949,263",$678.82M,"Directors:Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
68,可可夜總會,I 2017,105,"
Animation,Adventure,Comedy            ",8.4,"445,231",$209.73M,"Directors:Lee Unkrich, Adrian Molina","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']"
69,決殺令,2012,165,"
Drama,Western            ",8.4,"1,448,487",$162.81M,Quentin Tarantino,"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
70,黑暗騎士：黎明昇起,2012,164,"
Action,Crime,Drama            ",8.4,"1,596,810",$448.14M,Christopher Nolan,"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
71,三個傻瓜,2009,170,"
Comedy,Drama            ",8.4,"373,083",$6.53M,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
72,心中的小星星,2007,165,"
Drama,Family            ",8.4,"183,153",$1.22M,"Directors:Aamir Khan, Amole Gupte","['Darsheel Safary', 'Aamir Khan', 'Tisca Chopra', 'Vipin Sharma']"
73,瓦力,2008,98,"
Animation,Adventure,Family            ",8.4,"1,054,413",$223.81M,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
74,竊聽風暴,2006,137,"
Drama,Mystery,Thriller            ",8.4,"376,142",$11.29M,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']"
75,原罪犯,2003,120,"
Action,Drama,Mystery            ",8.4,"548,097",$0.71M,Park Chan-Wook,"['Choi Min-sik', 'Yoo Ji-Tae', 'Kang Hye-jeong', 'Kim Byeong-Ok']"
76,記憶拼圖,2000,113,"
Mystery,Thriller            ",8.4,"1,180,731",$25.54M,Christopher Nolan,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
77,魔法公主,1997,134,"
Animation,Action,Adventure            ",8.4,"370,074",$2.38M,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']"
78,法櫃奇兵,1981,115,"
Action,Adventure            ",8.4,"925,288",$248.16M,Steven Spielberg,"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
79,鬼店,1980,146,"
Drama,Horror            ",8.4,"958,101",$44.02M,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
80,現代啟示錄,1979,147,"
Drama,Mystery,War            ",8.4,"636,907",$83.47M,Francis Ford Coppola,"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
81,異形,1979,117,"
Horror,Sci-Fi            ",8.4,"833,621",$78.90M,Ridley Scott,"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
82,天國與地獄,1963,143,"
Crime,Drama,Mystery            ",8.4,"40,664",*****,Akira Kurosawa,"['Toshirô Mifune', 'Yutaka Sada', 'Tatsuya Nakadai', 'Kyôko Kagawa']"
83,奇愛博士,1964,95,"
Comedy,War            ",8.4,"471,548",$0.28M,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
84,情婦,1957,116,"
Crime,Drama,Mystery            ",8.4,"118,147",$8.18M,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']"
85,光榮之路,1957,88,"
Drama,War            ",8.4,"189,175",*****,Stanley Kubrick,"['Kirk Douglas', 'Ralph Meeker', 'Adolphe Menjou', 'George Macready']"
86,大地之歌,1955,125,"
Drama            ",8.4,"29,588",$0.54M,Satyajit Ray,"['Kanu Bannerjee', 'Karuna Bannerjee', 'Subir Banerjee', 'Chunibala Devi']"
87,日落大道,1950,110,"
Drama,Film-Noir            ",8.4,"213,334",*****,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']"
88,大獨裁者,1940,125,"
Comedy,Drama,War            ",8.4,"215,250",$0.29M,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Jack Oakie', 'Reginald Gardiner']"
89,萬萬沒想到,2019,143,"
Comedy,Drama,Romance            ",8.3,"46,115",$0.90M,Nitesh Tiwari,"['Sushant Singh Rajput', 'Shraddha Kapoor', 'Varun Sharma', 'Prateik Babbar']"
90,1917,2019,119,"
Action,Drama,War            ",8.3,"512,437",$159.23M,Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
91,Uri: The Surgical Strike,2019,138,"
Action,Drama,War            ",8.3,"53,919",$4.19M,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']"
92,女神的子宮,2018,104,"
Drama,Fantasy,Horror            ",8.3,"38,608",*****,"Directors:Rahi Anil Barve, Anand Gandhi, Adesh Prasad","['Sohum Shah', 'Jyoti Malshe', 'Anita Date', 'Ronjini Chakraborty']"
93,柯拉爾金礦 第一章,2018,156,"
Action,Crime,Drama            ",8.3,"49,817",*****,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']"
94,Vikram Vedha,2017,147,"
Action,Crime,Drama            ",8.3,"34,897",*****,"Directors:Gayatri, Pushkar","['Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath', 'Kathir']"
95,較量,2013,160,"
Crime,Drama,Thriller            ",8.3,"38,712",*****,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']"
96,謊言的烙印,2012,115,"
Drama            ",8.3,"308,705",$0.69M,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']"
97,分居風暴,2011,123,"
Drama            ",8.3,"234,339",$7.10M,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']"
98,烈火焚身,2010,131,"
Drama,Mystery,War            ",8.3,"166,022",$6.86M,Denis Villeneuve,"['Lubna Azabal', 'Mélissa Désormeaux-Poulin', 'Maxim Gaudette', 'Mustafa Kamel']"
99,父親,I 2020,97,"
Drama,Mystery            ",8.3,"110,082",*****,Florian Zeller,"['Anthony Hopkins', 'Olivia Colman', 'Mark Gatiss', 'Olivia Williams']"
